t_s,voltage
1.033,3.519
1.705,3.514
2.373,3.529
3.020,3.519
3.667,3.539
4.306,3.539
4.933,3.539
5.563,3.524
6.206,3.524
6.845,3.543
7.488,3.524
8.164,3.534
8.861,3.524
9.581,3.524
10.274,3.519
10.990,3.524
11.695,3.539
12.395,3.529
13.084,3.543
13.739,3.534
14.419,3.529
15.099,3.534
15.779,3.529
16.450,3.539
17.167,3.534
17.908,3.524
18.642,3.519
19.391,3.539
20.153,3.529
20.927,3.524
21.644,3.539
22.377,3.539
23.122,3.534
23.860,3.539
24.556,3.539
25.273,3.519
25.994,3.539
26.702,3.543
27.403,3.539
28.123,3.543
28.848,3.529
29.545,3.543
30.262,3.534
30.986,3.534
31.703,3.539
32.396,3.539
33.116,3.524
33.837,3.539
34.542,3.539
35.238,3.539
35.955,3.539
36.692,3.543
37.397,3.539
38.122,3.539
38.871,3.539
39.629,3.539
40.342,3.539
41.095,3.524
41.853,3.539
42.590,3.529
43.311,3.524
44.044,3.539
44.778,3.539
45.462,3.534
46.174,3.543
46.891,3.534
47.591,3.539
48.288,3.534
49.004,3.524
49.730,3.543
50.418,3.543
51.130,3.539
51.851,3.529
52.535,3.543
53.227,3.534
53.924,3.534
54.624,3.539
55.288,3.524
55.984,3.519
56.688,3.539
57.057,3.543
57.372,3.543
58.089,3.529
58.835,3.539
59.560,3.519
