t_s,voltage
0.741,3.514
1.482,3.529
2.228,3.524
2.940,3.539
3.678,3.534
4.398,3.524
5.099,3.534
5.816,3.524
6.537,3.514
7.266,3.534
7.958,3.539
8.679,3.539
9.404,3.534
10.133,3.514
10.845,3.514
11.579,3.524
12.324,3.534
13.045,3.529
13.770,3.539
14.503,3.534
15.244,3.534
15.949,3.539
16.686,3.519
17.428,3.519
18.140,3.539
18.873,3.519
19.607,3.519
20.331,3.534
21.020,3.524
21.736,3.534
22.461,3.529
23.170,3.529
23.883,3.534
24.612,3.539
25.345,3.534
26.041,3.514
26.770,3.524
27.508,3.529
28.229,3.534
28.945,3.519
29.678,3.539
30.407,3.534
31.112,3.529
31.837,3.534
32.566,3.534
33.266,3.529
33.971,3.534
34.688,3.529
35.409,3.529
36.097,3.529
36.809,3.539
37.530,3.539
38.243,3.534
38.948,3.534
39.677,3.539
40.410,3.524
41.106,3.529
41.831,3.534
42.560,3.514
43.260,3.529
43.977,3.534
44.694,3.534
45.419,3.534
46.115,3.534
46.828,3.539
47.545,3.519
48.261,3.519
48.950,3.539
49.662,3.514
50.396,3.539
51.104,3.539
51.812,3.529
52.529,3.529
53.242,3.534
53.922,3.534
54.622,3.539
55.327,3.539
56.015,3.534
56.699,3.529
57.404,3.519
58.133,3.534
58.833,3.539
59.578,3.534
