t_s,voltage
0.656,3.773
1.176,3.759
1.688,3.778
2.216,3.759
2.748,3.763
3.273,3.773
3.801,3.778
4.338,3.773
4.874,3.768
5.403,3.768
5.947,3.778
6.500,3.763
7.041,3.763
7.573,3.778
8.135,3.768
8.683,3.768
9.220,3.773
9.765,3.759
10.326,3.773
10.871,3.763
11.415,3.768
11.981,3.763
12.546,3.759
13.099,3.768
13.668,3.763
14.250,3.768
14.807,3.768
15.368,3.778
15.954,3.763
16.515,3.773
17.072,3.778
17.649,3.768
18.227,3.773
18.784,3.763
19.353,3.763
19.922,3.768
20.483,3.763
21.032,3.768
21.598,3.759
22.159,3.773
22.712,3.773
23.261,3.773
23.830,3.763
24.383,3.763
24.932,3.768
25.497,3.773
26.066,3.773
26.619,3.778
27.176,3.773
27.754,3.763
28.315,3.773
28.872,3.773
29.445,3.763
30.006,3.773
30.555,3.773
31.112,3.763
31.677,3.768
32.226,3.768
32.775,3.763
33.344,3.763
33.906,3.773
34.463,3.763
35.032,3.773
35.605,3.759
36.162,3.768
36.740,3.768
37.309,3.763
37.870,3.768
38.431,3.763
39.009,3.768
39.582,3.773
40.143,3.759
40.721,3.778
41.298,3.763
41.859,3.763
42.429,3.773
43.002,3.773
43.563,3.768
44.125,3.778
44.694,3.763
45.275,3.759
45.837,3.759
46.410,3.773
46.988,3.773
47.561,3.773
48.130,3.768
48.712,3.759
49.281,3.763
49.847,3.773
50.424,3.763
51.005,3.768
51.575,3.763
52.140,3.763
52.726,3.778
53.312,3.759
53.881,3.763
54.458,3.773
55.044,3.773
55.630,3.773
56.203,3.773
56.789,3.778
57.379,3.763
57.956,3.773
58.534,3.763
59.119,3.759
59.705,3.773
