t_s,voltage
0.268,3.763
0.895,3.759
1.505,3.768
2.119,3.768
2.734,3.773
3.348,3.773
3.950,3.763
4.553,3.768
5.159,3.759
5.765,3.773
6.359,3.768
6.961,3.768
7.563,3.759
8.181,3.763
8.796,3.763
9.426,3.759
10.090,3.773
10.778,3.759
11.450,3.759
12.138,3.759
12.847,3.763
13.555,3.768
14.243,3.773
14.943,3.768
15.640,3.773
16.336,3.773
17.004,3.759
17.676,3.759
18.368,3.759
19.068,3.768
19.781,3.773
20.506,3.759
21.218,3.759
21.943,3.773
22.689,3.763
23.442,3.768
24.172,3.763
24.917,3.768
25.662,3.773
26.420,3.768
27.186,3.773
27.907,3.773
28.644,3.768
29.381,3.759
30.131,3.773
30.885,3.773
31.589,3.773
32.285,3.759
32.998,3.768
33.740,3.773
34.436,3.773
35.148,3.768
35.906,3.768
36.676,3.763
37.393,3.759
38.155,3.773
38.966,3.768
39.723,3.759
40.497,3.773
41.284,3.763
42.050,3.773
42.787,3.768
43.545,3.768
44.311,3.759
45.052,3.773
45.818,3.763
46.563,3.773
47.309,3.768
48.034,3.768
48.743,3.759
49.484,3.763
50.233,3.759
51.015,3.754
51.777,3.759
52.556,3.768
53.354,3.759
54.149,3.768
54.939,3.759
55.681,3.759
56.410,3.763
57.126,3.768
57.847,3.773
58.593,3.773
59.318,3.768
