t_s,voltage
0.260,3.763
0.829,3.773
1.403,3.768
1.976,3.763
2.546,3.773
3.115,3.778
3.688,3.759
4.262,3.768
4.835,3.773
5.408,3.768
5.982,3.763
6.563,3.773
7.153,3.773
7.739,3.768
8.329,3.768
8.939,3.773
9.562,3.759
10.184,3.768
10.819,3.773
11.491,3.768
12.191,3.759
12.875,3.749
13.539,3.773
14.215,3.773
14.882,3.773
15.529,3.773
16.176,3.768
16.819,3.759
17.463,3.773
18.097,3.763
18.740,3.759
19.396,3.773
20.051,3.763
20.710,3.759
21.382,3.759
22.070,3.773
22.758,3.759
23.471,3.759
24.204,3.768
24.937,3.768
25.666,3.773
26.367,3.763
27.067,3.768
27.772,3.773
28.464,3.773
29.164,3.773
29.844,3.759
30.536,3.773
31.241,3.773
31.954,3.773
32.650,3.759
33.338,3.759
34.042,3.768
34.763,3.773
35.472,3.773
36.172,3.773
36.873,3.768
37.573,3.759
38.253,3.773
38.933,3.773
39.613,3.768
40.297,3.759
40.993,3.763
41.665,3.778
42.340,3.768
43.021,3.773
43.717,3.773
44.401,3.759
45.081,3.768
45.777,3.768
46.498,3.773
47.215,3.763
47.911,3.759
48.591,3.759
49.266,3.768
49.914,3.773
50.553,3.759
51.204,3.773
51.892,3.768
52.572,3.773
53.313,3.768
54.116,3.768
54.931,3.773
55.693,3.759
56.483,3.759
57.278,3.768
58.040,3.768
58.761,3.763
59.482,3.773
