t_s,voltage
0.424,3.768
0.965,3.768
1.506,3.763
2.063,3.763
2.607,3.763
3.148,3.778
3.705,3.773
4.258,3.773
4.799,3.768
5.348,3.773
5.909,3.763
6.461,3.773
7.014,3.763
7.576,3.759
8.149,3.773
8.702,3.759
9.263,3.773
9.840,3.759
10.406,3.182
10.967,3.763
11.552,3.768
12.134,3.773
12.700,3.768
13.277,3.778
13.863,3.778
14.440,3.768
15.014,3.778
15.599,3.768
16.185,3.773
16.754,3.768
17.328,3.773
17.914,3.763
18.499,3.773
19.073,3.763
19.662,3.768
20.260,3.763
20.842,3.773
21.423,3.763
22.013,3.768
22.599,3.773
23.172,3.763
23.758,3.763
24.348,3.759
24.921,3.759
25.507,3.778
26.105,3.773
26.695,3.773
27.276,3.773
27.866,3.763
28.468,3.759
29.054,3.763
29.640,3.773
30.234,3.773
30.832,3.773
31.413,3.763
31.995,3.773
32.585,3.773
33.170,3.773
33.744,3.759
34.321,3.768
34.923,3.773
35.530,3.759
36.111,3.759
36.697,3.763
37.287,3.778
37.868,3.773
38.442,3.773
39.019,3.778
39.601,3.759
40.174,3.759
40.744,3.763
41.325,3.759
41.911,3.773
42.484,3.763
43.062,3.773
43.643,3.763
44.225,3.773
44.794,3.768
45.372,3.759
45.962,3.773
46.547,3.773
47.121,3.773
47.706,3.778
48.301,3.773
48.886,3.763
49.468,3.768
50.053,3.763
50.647,3.773
51.229,3.773
51.806,3.759
52.392,3.763
52.978,3.773
53.559,3.773
54.137,3.773
54.727,3.768
55.321,3.759
55.906,3.759
56.492,3.773
57.086,3.768
57.684,3.768
58.270,3.768
58.859,3.773
59.449,3.768
60.047,3.768
