t_s,voltage
1.164,3.509
1.864,3.500
2.540,3.519
3.228,3.514
3.937,3.519
4.654,3.509
5.334,3.519
6.046,3.519
6.751,3.504
7.447,3.519
8.131,3.500
8.815,3.509
9.519,3.519
10.199,3.514
10.904,3.514
11.617,3.514
12.325,3.514
13.022,3.509
13.746,3.504
14.484,3.519
15.180,3.519
15.893,3.514
16.601,3.504
17.261,3.519
17.924,3.519
18.576,3.519
19.218,3.519
19.854,3.519
20.480,3.509
21.115,3.509
21.758,3.519
22.413,3.519
23.057,3.509
23.728,3.514
24.416,3.519
25.084,3.524
25.760,3.500
26.452,3.519
27.144,3.514
27.807,3.514
28.487,3.519
29.167,3.504
29.839,3.514
30.511,3.504
31.191,3.519
31.867,3.514
32.530,3.509
33.223,3.500
33.919,3.519
34.594,3.509
35.311,3.519
36.032,3.519
36.720,3.519
37.421,3.504
38.125,3.514
38.813,3.519
39.485,3.514
40.165,3.519
40.828,3.514
41.479,3.519
42.131,3.509
42.815,3.504
43.495,3.514
44.150,3.519
44.830,3.509
45.526,3.519
46.210,3.514
46.898,3.514
47.607,3.504
48.332,3.500
49.032,3.504
49.749,3.519
50.486,3.519
51.256,3.519
51.989,3.519
52.751,3.514
53.517,3.514
54.254,3.519
55.004,3.509
55.749,3.519
56.474,3.519
57.204,3.519
57.933,3.514
58.633,3.519
59.346,3.514
