t_s,voltage
1.105,3.509
1.756,3.509
2.424,3.519
3.124,3.519
3.821,3.519
4.570,3.519
5.344,3.519
6.127,3.514
6.844,3.519
7.614,3.519
8.400,3.519
9.170,3.514
9.948,3.504
10.747,3.500
11.574,3.519
12.356,3.514
13.200,3.500
14.093,3.519
14.961,3.509
15.764,3.514
16.575,3.514
17.390,3.504
18.169,3.509
18.988,3.519
19.811,3.509
20.597,3.524
21.396,3.514
22.207,3.519
22.948,3.519
23.755,3.504
24.583,3.504
25.361,3.504
26.160,3.514
26.999,3.514
27.827,3.519
28.585,3.519
29.383,3.514
30.182,3.509
30.927,3.514
31.705,3.504
32.496,3.519
33.262,3.504
34.048,3.504
34.831,3.519
35.588,3.514
36.342,3.519
37.132,3.514
37.919,3.514
38.672,3.504
39.459,3.504
40.245,3.519
40.995,3.524
41.769,3.519
42.568,3.519
43.333,3.524
44.120,3.504
44.902,3.519
45.669,3.514
46.410,3.514
47.180,3.524
47.966,3.519
48.720,3.514
49.514,3.514
50.301,3.509
51.095,3.519
51.898,3.514
52.664,3.519
53.405,3.519
54.155,3.500
54.900,3.519
55.601,3.509
56.338,3.509
57.096,3.509
57.817,3.519
58.582,3.504
59.365,3.519
