t_s,voltage
0.464,3.773
1.123,3.773
1.770,3.778
2.401,3.773
3.024,3.778
3.667,3.763
4.338,3.783
5.010,3.773
5.751,3.768
6.554,3.778
7.402,3.768
8.225,3.778
9.085,3.773
9.962,3.773
10.789,3.778
11.637,3.773
12.481,3.778
13.263,3.773
14.053,3.778
14.864,3.778
15.672,3.783
16.462,3.773
17.310,3.783
18.141,3.778
18.923,3.768
19.743,3.778
20.578,3.783
21.401,3.768
22.168,3.768
22.970,3.783
23.781,3.768
24.555,3.778
25.329,3.783
26.124,3.778
26.939,3.783
27.746,3.773
28.508,3.773
29.310,3.773
30.138,3.778
30.908,3.768
31.711,3.778
32.522,3.768
33.324,3.768
34.062,3.773
34.844,3.783
35.638,3.773
36.404,3.778
37.146,3.778
37.924,3.773
38.731,3.778
39.517,3.778
40.328,3.778
41.168,3.783
41.979,3.778
42.782,3.778
43.601,3.778
44.371,3.783
45.157,3.778
45.940,3.763
46.689,3.778
47.414,3.778
48.180,3.783
48.979,3.763
49.732,3.768
50.494,3.778
51.289,3.778
52.083,3.773
52.829,3.778
53.603,3.768
54.373,3.773
55.106,3.773
55.823,3.773
56.564,3.783
57.330,3.783
58.055,3.763
58.821,3.768
59.616,3.778
