t_s,voltage
1.269,3.495
1.941,3.514
2.601,3.514
3.285,3.500
4.001,3.519
4.681,3.519
5.423,3.514
6.135,3.509
6.828,3.514
7.499,3.504
8.187,3.504
8.884,3.514
9.576,3.500
10.272,3.514
10.989,3.519
11.722,3.519
12.472,3.504
13.189,3.509
13.930,3.519
14.671,3.509
15.363,3.504
16.060,3.509
16.744,3.519
17.411,3.519
18.079,3.509
18.738,3.519
19.422,3.519
20.102,3.504
20.778,3.519
21.446,3.509
22.122,3.514
22.822,3.504
23.489,3.509
24.165,3.500
24.853,3.504
25.558,3.519
26.238,3.519
26.959,3.509
27.696,3.504
28.388,3.519
29.101,3.504
29.822,3.519
30.543,3.509
31.214,3.514
31.919,3.519
32.656,3.504
33.365,3.504
34.135,3.514
34.950,3.519
35.712,3.504
36.486,3.514
37.248,3.519
37.981,3.509
38.685,3.504
39.406,3.514
40.131,3.514
40.823,3.519
41.540,3.519
42.285,3.514
42.994,3.504
43.735,3.500
44.501,3.504
45.271,3.519
46.005,3.500
46.758,3.514
47.516,3.519
48.237,3.500
48.958,3.519
49.666,3.504
50.354,3.504
51.034,3.504
51.706,3.519
52.382,3.504
53.086,3.509
53.807,3.500
54.499,3.514
55.216,3.519
55.953,3.509
56.691,3.504
57.391,3.504
58.120,2.644
58.866,3.504
59.615,3.519
