t_s,voltage
0.930,3.578
1.520,3.583
2.105,3.573
2.687,3.583
3.264,3.578
3.846,3.578
4.424,3.587
4.997,3.563
5.415,3.578
6.140,3.563
6.705,3.587
7.262,3.558
7.819,3.563
8.380,3.583
8.937,3.568
9.507,3.578
10.084,3.558
10.670,3.568
11.268,3.587
11.874,3.583
12.513,3.583
13.135,3.578
13.766,3.568
14.405,3.583
15.048,3.563
15.671,3.587
16.294,3.573
16.912,3.573
17.526,3.583
18.133,3.558
18.731,3.578
19.332,3.583
19.943,3.587
20.578,3.587
21.245,3.563
21.901,3.563
22.560,3.563
23.236,3.587
23.916,3.587
24.575,3.558
25.239,3.583
25.894,3.573
26.566,3.568
27.213,3.583
27.856,3.563
28.495,3.573
29.142,3.583
29.777,3.578
30.420,3.578
31.063,3.573
31.727,3.578
32.407,3.578
33.099,3.568
33.803,3.583
34.504,3.583
35.179,3.578
35.864,3.578
36.531,3.573
37.199,3.583
37.842,3.583
38.481,3.583
39.120,3.578
39.767,3.583
40.414,3.558
41.086,3.568
41.786,3.583
42.507,3.578
43.207,3.583
43.924,3.563
44.641,3.587
45.329,3.587
46.025,3.583
46.718,3.578
47.397,3.578
48.057,3.583
48.712,3.583
49.359,3.573
50.002,3.583
50.637,3.563
51.272,3.563
51.911,3.578
52.571,3.568
53.230,3.573
53.902,3.563
54.586,3.573
55.270,3.563
55.962,3.578
56.662,3.583
57.330,3.568
58.010,3.573
58.690,3.583
59.370,3.573
60.041,3.568
