t_s,voltage
0.937,3.529
1.527,3.553
2.104,3.534
2.673,3.539
3.247,3.543
3.816,3.529
4.381,3.543
4.939,3.539
5.504,3.553
6.069,3.534
6.634,3.534
7.212,3.548
7.798,3.529
8.400,3.548
8.993,3.548
9.595,3.543
10.202,3.548
10.828,3.539
11.455,3.548
12.065,3.539
12.684,3.543
13.311,3.548
13.929,3.534
14.539,3.543
15.150,3.553
15.764,3.539
16.374,3.534
16.989,3.548
17.586,3.534
18.193,3.534
18.807,3.553
19.430,3.548
20.040,3.529
20.658,3.534
21.285,3.553
21.924,3.539
22.559,3.548
23.194,3.543
23.837,3.534
24.484,3.548
25.123,3.539
25.750,3.529
26.384,3.534
27.019,3.534
27.654,3.553
28.289,3.543
28.932,3.539
29.583,3.539
30.243,3.548
30.886,3.539
31.525,3.548
32.172,3.534
32.815,3.553
33.458,3.529
34.081,3.539
34.699,3.534
35.322,3.539
35.948,3.539
36.559,3.539
37.173,3.539
37.804,3.548
38.443,3.548
39.094,3.529
39.729,3.553
40.384,3.529
41.048,3.548
41.715,3.534
42.354,3.558
42.997,3.548
43.644,3.548
44.287,3.548
44.914,3.539
45.545,3.548
46.180,3.534
46.819,3.553
47.458,3.539
48.093,3.543
48.740,3.543
49.391,3.534
50.038,3.553
50.673,3.543
51.312,3.529
51.943,3.539
52.569,3.534
53.176,3.548
53.786,3.548
54.404,3.548
55.031,3.543
55.649,3.539
56.280,3.548
56.919,3.539
57.575,3.543
58.214,3.548
58.852,3.543
59.492,3.529
