t_s,voltage
0.880,3.514
1.429,3.519
1.966,3.509
2.502,3.509
3.043,3.524
3.579,3.524
4.116,3.524
4.640,3.514
5.173,3.529
5.705,3.524
6.242,3.519
6.774,3.519
7.307,3.504
7.856,3.529
8.404,3.529
8.945,3.524
9.502,3.509
10.067,3.519
10.628,3.509
11.198,3.519
11.775,3.509
12.345,3.524
12.922,3.519
13.496,3.514
14.073,3.524
14.638,3.519
15.208,3.524
15.781,3.529
16.350,3.509
16.912,3.514
17.481,3.524
18.050,3.514
18.624,3.509
19.189,3.524
19.770,3.509
20.364,3.514
20.958,3.519
21.560,3.514
22.171,3.509
22.785,3.519
23.387,3.519
23.993,3.504
24.600,3.509
25.189,3.519
25.787,3.524
26.381,3.514
26.971,3.529
27.540,3.524
28.122,3.529
28.700,3.529
29.289,3.519
29.871,3.519
30.461,3.529
31.063,3.524
31.681,3.524
32.316,3.529
32.939,3.509
33.574,3.524
34.208,3.519
34.839,3.529
35.462,3.524
36.084,3.509
36.711,3.529
37.313,3.524
37.915,3.524
38.517,3.524
39.111,3.524
39.697,3.524
40.291,3.504
40.889,3.509
41.491,3.504
42.097,3.519
42.707,3.509
43.334,3.519
43.940,3.524
44.563,3.524
45.190,3.524
45.808,3.524
46.430,3.509
47.045,3.504
47.663,3.524
48.261,3.509
48.868,3.514
49.470,3.509
50.064,3.509
50.649,3.524
51.235,3.524
51.829,3.519
52.411,3.524
53.004,3.519
53.606,3.514
54.213,3.519
54.811,3.509
55.421,3.529
56.035,3.524
56.650,3.509
57.256,3.509
57.862,3.524
58.472,3.519
59.070,3.519
59.668,3.524
