t_s,voltage
0.745,3.548
1.478,3.553
2.223,3.539
2.989,3.548
3.792,3.553
4.587,3.558
5.357,3.558
6.135,3.534
6.917,3.539
7.691,3.553
8.469,3.548
9.252,3.534
10.005,3.539
10.767,3.539
11.537,3.529
12.275,3.548
13.028,3.553
13.802,3.548
14.564,3.553
15.330,3.548
16.104,3.543
16.862,3.543
17.611,3.558
18.377,3.548
19.139,3.553
19.864,3.539
20.597,3.539
21.351,3.534
22.105,3.548
22.854,3.539
23.616,3.543
24.374,3.534
25.103,3.548
25.848,3.534
26.602,3.548
27.331,3.534
28.072,3.543
28.822,3.529
29.575,3.548
30.313,3.548
31.861,3.539
32.611,3.534
33.393,3.553
34.175,3.529
34.921,3.543
35.699,3.548
36.489,3.548
37.243,3.543
38.013,3.539
38.382,3.548
38.685,3.543
39.528,3.534
40.274,3.543
41.019,3.534
41.744,3.534
42.453,3.543
43.174,3.534
43.899,3.548
44.603,3.534
45.324,3.543
46.053,3.539
46.782,3.553
47.499,3.524
48.236,3.539
48.969,3.529
49.686,3.539
50.419,3.524
51.165,3.539
51.918,3.543
52.644,3.524
53.393,3.529
54.147,3.534
54.888,3.548
55.642,3.543
56.399,3.534
57.141,3.543
57.874,3.543
58.619,3.543
59.381,3.543
