t_s,voltage
0.635,3.534
1.314,3.519
2.007,3.524
2.678,3.529
3.379,3.543
4.104,3.534
4.816,3.529
5.566,3.529
6.340,3.548
7.122,3.534
7.884,3.534
8.654,3.529
9.449,3.548
10.276,3.519
11.104,3.543
11.935,3.529
12.742,3.543
13.569,3.539
14.405,3.543
15.204,3.534
15.990,3.539
16.780,3.548
17.538,3.524
18.296,3.524
19.062,3.529
19.836,3.548
20.586,3.524
21.347,3.539
22.130,3.553
22.916,3.548
23.682,3.524
24.464,3.543
25.255,3.529
26.025,3.539
26.778,3.524
27.536,3.543
28.298,3.548
29.035,3.534
29.793,3.543
30.551,3.539
31.309,3.524
32.042,3.534
32.803,3.543
33.586,3.529
34.339,3.548
35.118,3.524
35.900,3.539
36.641,3.539
37.395,3.548
38.153,3.529
38.902,3.543
39.639,3.524
40.405,3.543
41.204,3.529
41.987,3.548
42.793,3.534
43.621,3.529
44.440,3.524
45.255,3.534
46.078,3.548
46.873,3.539
47.659,3.543
48.458,3.529
49.240,3.548
49.998,3.539
50.768,3.548
51.550,3.539
52.320,3.543
53.131,3.539
53.979,3.548
54.839,3.519
55.691,3.524
56.564,3.543
57.420,3.539
58.235,3.553
59.062,3.539
59.869,3.548
