t_s,voltage
0.601,3.543
1.551,3.568
2.477,3.563
3.374,3.558
4.292,3.548
5.217,3.553
6.139,3.563
7.114,3.548
8.130,3.543
9.112,3.553
10.079,3.563
11.189,3.553
12.164,3.548
13.126,3.548
14.077,3.534
14.953,3.548
15.764,3.558
16.530,3.534
17.284,3.558
18.037,3.558
18.811,3.553
19.598,3.548
20.384,3.495
21.183,3.558
21.949,3.563
22.707,3.534
23.518,3.563
24.325,3.543
25.111,3.543
25.901,3.553
26.692,3.558
27.474,3.553
28.240,3.534
29.014,3.548
29.743,3.553
30.472,3.563
31.226,3.543
31.988,3.563
32.750,3.558
33.520,3.543
34.278,3.558
35.011,3.553
35.785,3.539
36.559,3.553
37.358,3.543
38.152,3.558
38.906,3.553
39.717,3.534
40.520,3.553
41.318,3.558
42.084,3.558
42.871,3.558
43.661,3.553
44.460,3.558
45.254,3.534
46.020,3.553
46.770,3.534
47.581,3.553
48.400,3.558
49.236,3.558
50.063,3.558
50.882,3.553
51.718,3.548
52.516,3.539
53.291,3.534
54.085,3.558
54.892,3.534
55.703,3.553
56.522,3.534
57.309,3.558
58.095,3.558
58.906,3.534
59.713,3.548
