t_s,voltage
1.074,3.548
1.643,3.553
2.204,3.548
2.765,3.548
3.322,3.558
3.883,3.543
4.432,3.539
4.989,3.543
5.546,3.558
6.119,3.553
6.697,3.548
7.279,3.543
7.881,3.553
8.504,3.558
9.130,3.534
9.757,3.558
10.396,3.548
11.043,3.553
11.661,3.553
12.292,3.543
12.923,3.539
13.558,3.548
14.168,3.534
14.790,3.553
15.409,3.548
16.027,3.553
16.630,3.548
17.240,3.543
17.846,3.548
18.460,3.534
19.058,3.543
19.665,3.553
20.279,3.529
20.897,3.558
21.496,3.553
22.106,3.534
22.716,3.553
23.334,3.558
23.941,3.553
24.555,3.543
25.178,3.534
25.808,3.539
26.435,3.543
27.050,3.539
27.672,3.534
28.303,3.548
28.934,3.534
29.552,3.553
30.179,3.553
30.805,3.534
31.428,3.543
32.038,3.548
32.644,3.534
33.246,3.558
33.853,3.553
34.459,3.534
35.057,3.539
35.659,3.548
36.269,3.553
36.896,3.539
37.506,3.534
38.129,3.548
38.755,3.548
39.382,3.548
39.996,3.529
40.603,3.534
41.205,3.553
41.811,3.548
42.397,3.529
42.991,3.543
43.593,3.548
44.199,3.548
44.801,3.548
45.403,3.543
46.005,3.543
46.620,3.548
47.246,3.548
47.869,3.553
48.487,3.548
49.110,3.539
49.732,3.534
50.351,3.534
50.957,3.548
51.567,3.553
52.186,3.534
52.816,3.539
53.435,3.548
54.058,3.548
54.684,3.548
55.315,3.548
55.954,3.529
56.568,3.548
57.191,3.548
57.813,3.539
58.436,3.524
59.055,3.548
59.653,3.553
