t_s,voltage
0.906,3.509
1.643,3.500
2.413,3.519
3.159,3.509
3.892,3.524
4.613,3.514
5.350,3.519
6.128,3.509
6.907,3.500
7.705,3.514
8.479,3.514
9.221,3.519
9.995,3.509
10.761,3.514
11.543,3.524
12.329,3.524
13.104,3.504
13.886,3.514
14.607,3.524
15.360,3.519
16.126,3.524
16.896,3.519
17.679,3.504
18.412,3.524
19.174,3.519
19.940,3.519
20.726,3.524
21.508,3.514
22.254,3.519
23.024,3.524
23.810,3.524
24.601,3.504
25.383,3.519
26.132,3.514
26.886,3.504
27.648,3.504
28.426,3.524
29.212,3.509
29.975,3.519
30.708,3.504
31.482,3.504
32.244,3.524
33.022,3.514
33.759,3.504
34.505,3.509
35.266,3.524
36.040,3.514
36.819,3.514
37.564,3.504
38.297,3.524
39.067,3.524
39.837,3.514
40.615,3.519
41.345,3.504
42.082,3.514
42.852,3.504
43.622,3.519
44.367,3.514
45.096,3.504
45.850,3.519
46.620,3.504
47.386,3.514
48.123,3.514
48.848,3.524
49.590,3.524
50.351,3.509
51.117,3.504
51.895,3.504
52.620,3.509
53.362,3.519
54.103,3.514
54.873,3.519
55.602,3.519
56.327,3.519
57.081,3.519
57.843,3.519
58.609,3.524
59.334,3.519
60.071,3.500
