t_s,voltage
0.792,3.768
1.484,3.759
2.160,3.768
2.869,3.768
3.602,3.773
4.343,3.773
5.093,3.773
5.895,3.759
6.710,3.773
7.464,3.763
8.242,3.759
9.020,3.773
9.758,3.763
10.552,3.773
11.367,3.763
12.158,3.763
13.002,3.759
13.894,3.773
14.734,3.778
15.553,3.773
16.417,3.773
17.323,3.763
18.158,3.759
19.043,3.763
19.952,3.778
20.792,3.763
21.660,3.759
22.541,3.773
23.380,3.759
24.245,3.768
25.125,3.773
25.957,3.768
26.821,3.773
27.693,3.773
28.521,3.759
29.401,3.773
30.294,3.759
31.132,3.768
32.006,3.773
32.879,3.759
33.718,3.773
34.550,3.768
35.406,3.773
36.278,3.768
37.077,3.759
37.896,3.768
38.736,3.773
39.567,3.763
40.333,3.763
41.136,3.759
41.963,3.768
42.737,3.768
43.540,3.773
44.384,3.763
45.232,3.773
46.038,3.763
46.862,3.763
47.682,3.773
48.426,3.768
49.213,3.773
50.024,3.759
50.810,3.759
51.588,3.778
52.432,3.759
53.329,3.759
54.132,3.773
54.963,3.773
55.811,3.768
56.606,3.763
57.433,3.763
58.285,3.763
59.079,3.754
59.903,3.763
