t_s,voltage
0.881,3.514
1.639,3.514
2.360,3.504
3.130,3.519
3.941,3.504
4.736,3.514
5.510,3.504
6.288,3.504
7.021,3.524
7.766,3.514
8.524,3.514
9.290,3.509
10.068,3.519
10.842,3.524
11.608,3.519
12.362,3.519
13.140,3.519
13.919,3.504
14.668,3.519
15.471,3.519
16.253,3.524
17.056,3.509
17.846,3.519
18.629,3.519
19.403,3.519
20.201,3.504
21.004,3.509
21.803,3.500
22.598,3.504
23.380,3.504
24.179,3.519
24.965,3.514
25.719,3.514
26.476,3.514
27.263,3.519
28.037,3.519
28.807,3.519
29.601,3.509
30.384,3.514
31.187,3.519
31.928,3.514
32.694,3.524
33.456,3.524
34.177,3.519
34.918,3.504
35.688,3.514
36.458,3.519
37.204,3.514
37.945,3.509
38.739,3.500
39.530,3.504
40.325,3.519
41.107,3.524
41.860,3.519
42.643,3.519
43.429,3.504
44.228,3.504
44.978,3.500
45.735,3.524
46.513,3.504
47.300,3.504
48.070,3.509
48.819,3.514
49.598,3.514
50.364,3.519
51.142,3.519
51.903,3.509
52.670,3.514
53.403,3.514
54.165,3.504
54.922,3.509
55.676,3.519
56.405,3.504
57.171,3.514
57.949,3.504
58.719,3.504
59.469,3.519
