t_s,voltage
0.911,3.524
1.767,3.534
2.639,3.524
3.499,3.529
4.323,3.539
5.191,3.534
6.076,3.539
6.964,3.519
7.845,3.514
8.693,3.539
9.573,3.519
10.454,3.519
11.327,3.539
12.174,3.534
13.047,3.529
13.919,3.514
14.796,3.529
15.672,3.534
16.483,3.534
17.348,3.534
18.228,3.539
19.113,3.534
19.961,3.529
20.772,3.519
21.615,3.519
22.468,3.539
23.270,3.539
24.097,3.514
24.929,3.529
25.773,3.524
26.580,3.534
27.440,3.519
28.292,3.524
29.094,3.534
29.959,3.519
30.823,3.519
31.671,3.539
32.506,3.519
33.346,3.539
34.202,3.524
35.021,3.534
35.877,3.534
36.737,3.514
37.589,3.514
38.417,3.529
39.268,3.514
40.121,3.529
40.989,3.539
41.837,3.534
42.652,3.539
43.459,3.539
44.294,3.539
45.126,3.524
45.961,3.524
46.756,3.539
47.587,3.539
48.435,3.539
49.258,3.534
50.061,3.529
50.909,3.529
51.749,3.534
52.548,3.524
53.375,3.539
54.210,3.519
55.050,3.519
55.861,3.529
56.631,3.524
57.450,3.534
58.273,3.519
59.105,3.539
59.932,3.514
