t_s,voltage
0.905,3.539
1.413,3.558
1.929,3.539
2.441,3.539
2.957,3.553
3.490,3.543
4.034,3.548
4.583,3.553
5.120,3.558
5.673,3.543
6.226,3.558
6.783,3.539
7.324,3.558
7.868,3.563
8.417,3.539
8.962,3.558
9.494,3.543
10.027,3.558
10.568,3.558
11.112,3.553
11.653,3.553
12.202,3.539
12.763,3.548
13.336,3.558
13.897,3.539
14.471,3.563
15.052,3.553
15.642,3.558
16.216,3.558
16.801,3.558
17.387,3.563
17.969,3.558
18.542,3.543
19.116,3.558
19.685,3.558
20.254,3.563
20.811,3.543
21.376,3.543
21.946,3.553
22.507,3.563
23.072,3.553
23.650,3.553
24.239,3.548
24.817,3.543
25.403,3.548
25.997,3.558
26.599,3.558
27.184,3.548
27.774,3.558
28.368,3.534
28.958,3.539
29.531,3.539
30.105,3.553
30.678,3.539
31.248,3.553
31.809,3.539
32.374,3.558
32.951,3.553
33.537,3.539
34.131,3.539
34.741,3.558
35.360,3.558
35.974,3.539
36.588,3.553
37.207,3.553
37.830,3.548
38.436,3.539
39.042,3.539
39.652,3.558
40.258,3.558
40.852,3.558
41.442,3.553
42.036,3.553
42.626,3.543
43.224,3.558
43.818,3.553
44.412,3.539
45.018,3.553
45.636,3.553
46.255,3.553
46.865,3.558
47.484,3.534
48.106,3.548
48.724,3.558
49.327,3.553
49.937,3.558
50.543,3.553
51.145,3.553
51.739,3.558
52.329,3.558
52.919,3.558
53.517,3.543
54.098,3.548
54.684,3.548
55.274,3.553
55.864,3.553
56.449,3.553
57.051,3.553
57.666,3.558
58.272,3.558
58.878,3.539
59.493,3.548
